bearing,lat,lon
0,30.317878,41.353913
1,30.312775,40.195524
2,30.29747,39.037377
3,30.271971,37.879711
4,30.236296,36.722766
5,30.190464,35.566781
6,30.134506,34.411989
7,30.068454,33.258624
8,29.992349,32.106914
9,29.906238,30.957085
10,29.810171,29.809356
11,29.704208,28.663944
12,29.58841,27.521057
13,29.462848,26.380901
14,29.327593,25.243673
15,29.182726,24.109565
16,29.02833,22.978759
17,28.864495,21.851433
18,28.691312,20.727757
19,28.508879,19.60789
20,28.317299,18.491987
21,28.116676,17.380192
22,27.90712,16.272642
23,27.688744,15.169464
24,27.461663,14.070777
25,27.225998,12.976692
26,26.98187,11.88731
27,26.729405,10.802725
28,26.468729,9.72302
29,26.199972,8.648271
30,25.923266,7.578544
31,25.638744,6.513899
32,25.346543,5.454384
33,25.046799,4.400041
34,24.73965,3.350904
35,24.425236,2.306998
36,24.103697,1.268341
37,23.775174,0.234942
38,23.43981,-0.793195
39,23.097747,-1.816075
40,22.749129,-2.833711
41,22.394098,-3.846119
42,22.032798,-4.853326
43,21.665373,-5.855362
44,21.291965,-6.852264
45,20.91272,-7.844077
46,20.527779,-8.830847
47,20.137285,-9.812629
48,19.741381,-10.789483
49,19.340208,-11.761473
50,18.933908,-12.728666
51,18.522621,-13.691137
52,18.106488,-14.648962
53,17.685648,-15.602224
54,17.260239,-16.551006
55,16.830399,-17.495399
56,16.396264,-18.435494
57,15.957971,-19.371386
58,15.515655,-20.303174
59,15.06945,-21.23096
60,14.619489,-22.154846
61,14.165904,-23.07494
62,13.708828,-23.991351
63,13.24839,-24.904188
64,12.784721,-25.813566
65,12.317948,-26.719599
66,11.848199,-27.622404
67,11.375602,-28.5221
68,10.900283,-29.418806
69,10.422365,-30.312643
70,9.941975,-31.203735
71,9.459234,-32.092205
72,8.974267,-32.978179
73,8.487194,-33.861782
74,7.998138,-34.743142
75,7.507217,-35.622386
76,7.014553,-36.499643
77,6.520265,-37.375043
78,6.02447,-38.248716
79,5.527288,-39.120792
80,5.028835,-39.991403
81,4.529229,-40.860681
82,4.028586,-41.728757
83,3.527022,-42.595765
84,3.024654,-43.461837
85,2.521597,-44.327106
86,2.017965,-45.191706
87,1.513875,-46.05577
88,1.009441,-46.919432
89,0.504778,-47.782827
90,0.0,-48.646087
91,-0.504778,-49.509347
92,-1.009441,-50.372742
93,-1.513875,-51.236404
94,-2.017965,-52.100468
95,-2.521597,-52.965068
96,-3.024654,-53.830337
97,-3.527022,-54.696409
98,-4.028586,-55.563417
99,-4.529229,-56.431493
100,-5.028835,-57.300771
101,-5.527288,-58.171382
102,-6.02447,-59.043458
103,-6.520265,-59.917131
104,-7.014553,-60.792531
105,-7.507217,-61.669788
106,-7.998138,-62.549032
107,-8.487194,-63.430392
108,-8.974267,-64.313995
109,-9.459234,-65.199969
110,-9.941975,-66.088439
111,-10.422365,-66.979531
112,-10.900283,-67.873368
113,-11.375602,-68.770074
114,-11.848199,-69.66977
115,-12.317948,-70.572575
116,-12.784721,-71.478608
117,-13.24839,-72.387986
118,-13.708828,-73.300823
119,-14.165904,-74.217234
120,-14.619489,-75.137328
121,-15.06945,-76.061214
122,-15.515655,-76.989
123,-15.957971,-77.920788
124,-16.396264,-78.85668
125,-16.830399,-79.796775
126,-17.260239,-80.741168
127,-17.685648,-81.68995
128,-18.106488,-82.643212
129,-18.522621,-83.601037
130,-18.933908,-84.563508
131,-19.340208,-85.530701
132,-19.741381,-86.502691
133,-20.137285,-87.479545
134,-20.527779,-88.461327
135,-20.91272,-89.448097
136,-21.291965,-90.43991
137,-21.665373,-91.436812
138,-22.032798,-92.438848
139,-22.394098,-93.446055
140,-22.749129,-94.458463
141,-23.097747,-95.476099
142,-23.43981,-96.498979
143,-23.775174,-97.527116
144,-24.103697,-98.560515
145,-24.425236,-99.599172
146,-24.73965,-100.643078
147,-25.046799,-101.692215
148,-25.346543,-102.746558
149,-25.638744,-103.806073
150,-25.923266,-104.870718
151,-26.199972,-105.940445
152,-26.468729,-107.015194
153,-26.729405,-108.094899
154,-26.98187,-109.179484
155,-27.225998,-110.268866
156,-27.461663,-111.362951
157,-27.688744,-112.461638
158,-27.90712,-113.564816
159,-28.116676,-114.672366
160,-28.317299,-115.784161
161,-28.508879,-116.900064
162,-28.691312,-118.019931
163,-28.864495,-119.143607
164,-29.02833,-120.270933
165,-29.182726,-121.401739
166,-29.327593,-122.535847
167,-29.462848,-123.673075
168,-29.58841,-124.813231
169,-29.704208,-125.956118
170,-29.810171,-127.10153
171,-29.906238,-128.249259
172,-29.992349,-129.399088
173,-30.068454,-130.550798
174,-30.134506,-131.704163
175,-30.190464,-132.858955
176,-30.236296,-134.01494
177,-30.271971,-135.171885
178,-30.29747,-136.329551
179,-30.312775,-137.487698
180,-30.317878,-138.646087
181,-30.312775,-139.804476
182,-30.29747,-140.962623
183,-30.271971,-142.120289
184,-30.236296,-143.277234
185,-30.190464,-144.433219
186,-30.134506,-145.588011
187,-30.068454,-146.741376
188,-29.992349,-147.893086
189,-29.906238,-149.042915
190,-29.810171,-150.190644
191,-29.704208,-151.336056
192,-29.58841,-152.478943
193,-29.462848,-153.619099
194,-29.327593,-154.756327
195,-29.182726,-155.890435
196,-29.02833,-157.021241
197,-28.864495,-158.148567
198,-28.691312,-159.272243
199,-28.508879,-160.39211
200,-28.317299,-161.508013
201,-28.116676,-162.619808
202,-27.90712,-163.727358
203,-27.688744,-164.830536
204,-27.461663,-165.929223
205,-27.225998,-167.023308
206,-26.98187,-168.11269
207,-26.729405,-169.197275
208,-26.468729,-170.27698
209,-26.199972,-171.351729
210,-25.923266,-172.421456
211,-25.638744,-173.486101
212,-25.346543,-174.545616
213,-25.046799,-175.599959
214,-24.73965,-176.649096
215,-24.425236,-177.693002
216,-24.103697,-178.731659
217,-23.775174,-179.765058
218,-23.43981,-180.793195
219,-23.097747,-181.816075
220,-22.749129,-182.833711
221,-22.394098,-183.846119
222,-22.032798,-184.853326
223,-21.665373,-185.855362
224,-21.291965,-186.852264
225,-20.91272,-187.844077
226,-20.527779,-188.830847
227,-20.137285,-189.812629
228,-19.741381,-190.789483
229,-19.340208,-191.761473
230,-18.933908,-192.728666
231,-18.522621,-193.691137
232,-18.106488,-194.648962
233,-17.685648,-195.602224
234,-17.260239,-196.551006
235,-16.830399,-197.495399
236,-16.396264,-198.435494
237,-15.957971,-199.371386
238,-15.515655,-200.303174
239,-15.06945,-201.23096
240,-14.619489,-202.154846
241,-14.165904,-203.07494
242,-13.708828,-203.991351
243,-13.24839,-204.904188
244,-12.784721,-205.813566
245,-12.317948,-206.719599
246,-11.848199,-207.622404
247,-11.375602,-208.5221
248,-10.900283,-209.418806
249,-10.422365,-210.312643
250,-9.941975,-211.203735
251,-9.459234,-212.092205
252,-8.974267,-212.978179
253,-8.487194,-213.861782
254,-7.998138,-214.743142
255,-7.507217,-215.622386
256,-7.014553,-216.499643
257,-6.520265,-217.375043
258,-6.02447,-218.248716
259,-5.527288,-219.120792
260,-5.028835,-219.991403
261,-4.529229,-220.860681
262,-4.028586,-221.728757
263,-3.527022,-222.595765
264,-3.024654,-223.461837
265,-2.521597,-224.327106
266,-2.017965,-225.191706
267,-1.513875,-226.05577
268,-1.009441,-226.919432
269,-0.504778,-227.782827
270,-0.0,-228.646087
271,0.504778,-229.509347
272,1.009441,-230.372742
273,1.513875,-231.236404
274,2.017965,-232.100468
275,2.521597,-232.965068
276,3.024654,-233.830337
277,3.527022,-234.696409
278,4.028586,-235.563417
279,4.529229,-236.431493
280,5.028835,-237.300771
281,5.527288,-238.171382
282,6.02447,-239.043458
283,6.520265,-239.917131
284,7.014553,-240.792531
285,7.507217,-241.669788
286,7.998138,-242.549032
287,8.487194,-243.430392
288,8.974267,-244.313995
289,9.459234,-245.199969
290,9.941975,-246.088439
291,10.422365,-246.979531
292,10.900283,-247.873368
293,11.375602,-248.770074
294,11.848199,-249.66977
295,12.317948,-250.572575
296,12.784721,-251.478608
297,13.24839,-252.387986
298,13.708828,-253.300823
299,14.165904,-254.217234
300,14.619489,-255.137328
301,15.06945,-256.061214
302,15.515655,-256.989
303,15.957971,-257.920788
304,16.396264,-258.85668
305,16.830399,-259.796775
306,17.260239,-260.741168
307,17.685648,-261.68995
308,18.106488,-262.643212
309,18.522621,-263.601037
310,18.933908,-264.563508
311,19.340208,-265.530701
312,19.741381,-266.502691
313,20.137285,-267.479545
314,20.527779,-268.461327
315,20.91272,-269.448097
316,21.291965,-270.43991
317,21.665373,-271.436812
318,22.032798,-272.438848
319,22.394098,-273.446055
320,22.749129,-274.458463
321,23.097747,-275.476099
322,23.43981,-276.498979
323,23.775174,-277.527116
324,24.103697,-278.560515
325,24.425236,-279.599172
326,24.73965,-280.643078
327,25.046799,-281.692215
328,25.346543,-282.746558
329,25.638744,-283.806073
330,25.923266,-284.870718
331,26.199972,-285.940445
332,26.468729,-287.015194
333,26.729405,-288.094899
334,26.98187,-289.179484
335,27.225998,-290.268866
336,27.461663,-291.362951
337,27.688744,-292.461638
338,27.90712,-293.564816
339,28.116676,-294.672366
340,28.317299,-295.784161
341,28.508879,-296.900064
342,28.691312,-298.019931
343,28.864495,-299.143607
344,29.02833,-300.270933
345,29.182726,-301.401739
346,29.327593,-302.535847
347,29.462848,-303.673075
348,29.58841,-304.813231
349,29.704208,-305.956118
350,29.810171,-307.10153
351,29.906238,-308.249259
352,29.992349,-309.399088
353,30.068454,-310.550798
354,30.134506,-311.704163
355,30.190464,-312.858955
356,30.236296,-314.01494
357,30.271971,-315.171885
358,30.29747,-316.329551
359,30.312775,-317.487698
