Site,Latitude,Longitude,UTM_E,UTM_N,Classification,Elevation_m
Aparecida do Norte I,-9.728638,-67.124860,705710,8924021,Irregular,140
Caboquim,-9.810057,-67.173432,700331,8915044,Circular,140
Coqueiral,-9.898714,-67.349854,680928,8905338,Irregular,160
Dois circulos IV,-10.208469,-67.655491,647270,8871232,Rectangular,200
Dois circulos V,-10.205474,-67.650638,647803,8871561,Irregular,200
Dona Maria IV,-9.763031,-67.192472,698270,8920257,Circular,160
Dona Maria V,-9.765423,-67.196815,697792,8919995,Circular,160
Estrela do Norte I,-10.154924,-67.601879,653169,8877129,Circular,170
Estrela do Norte II,-10.146000,-67.600001,653379,8878115,Irregular,160
Fazenda Boa Esperanca,-9.840157,-67.169420,700753,8911712,Circular,160
Fazenda Iquiri II,-10.070563,-67.411946,674027,8886364,Circular,190
Fazenda Tocantins,-9.895356,-67.179208,699646,8905612,Circular,150
Fonte Boa II,-10.070011,-67.320309,684072,8886375,Circular,210
Gaviao VI,-10.524884,-67.635958,649260,8836229,Rectangular,210
Gaviao VII,-10.526514,-67.634516,649417,8836048,Rectangular,210
Gaviao VIII,-10.519557,-67.627246,650216,8836814,Rectangular,210
Independencia,-10.143007,-67.581005,655462,8878437,Irregular,170
Karina,-10.109176,-67.550649,658805,8882164,Circular,160
Lidar,-9.885497,-67.391050,676417,8906822,Irregular,170
Monticulos Placido,-10.236268,-67.380231,677412,8868019,Circular,150
Nakahara 79,-10.133894,-67.187785,698560,8879231,Circular,160
Nakahara 88 II,-10.377428,-67.415297,673493,8852425,Rectangular,180
Nakahara 104,-10.333157,-67.560664,657597,8857397,Rectangular,200
Nakahara 136,-10.370400,-68.170542,590803,8853516,Rectangular,210
Nakahara 166,-10.515718,-67.634554,649418,8837242,Rectangular,190
Nakahara 174,-10.300475,-67.567597,656854,8861015,Rectangular,210
Nakahara 177,-10.205921,-67.542172,659686,8871460,Circular,200
Nakahara 180,-10.003958,-67.494017,665065,8893773,Irregular,180
Nakahara 195 II,-9.745901,-67.150662,702868,8922127,Irregular,140
Nakahara 195 III,-9.741925,-67.141043,703926,8922561,Irregular,150
Nakahara AC 207,-9.930566,-67.624055,650843,8901952,Irregular,160
Nakahara AC 209,-9.795884,-67.544109,659674,8916810,Irregular,150
Nakahara 223,-10.714145,-69.322108,464778,8815609,Circular,270
Nakahara 225,-10.572110,-67.638144,648998,8831007,Rectangular,200
Nakahara 226,-10.422452,-67.540527,659757,8847511,Irregular,220
Nakahara 227,-10.292237,-67.487975,665579,8861886,Irregular,190
Nakahara 228,-10.051179,-67.505220,663813,8888556,Circular,160
Nakahara 229,-10.252295,-67.298290,686380,8866200,Circular,150
Nakahara 230 I,-9.980115,-67.433172,671748,8896379,Circular,160
Nakahara 230 II,-9.980352,-67.429769,672121,8896351,Circular,160
Peter 1,-9.866201,-67.357000,680162,8908938,Irregular,160
Peter 2,-9.828164,-67.282109,688398,8913104,Circular,140
Peter 3,-9.733712,-67.128622,705294,8923462,Irregular,140
Ramal Nabor Junior I,-9.924822,-67.166599,701011,8902345,Circular,150
Sanna,-9.885448,-67.424623,672735,8906845,Rectangular,200
Sol do Alceu,-10.911951,-69.532506,441809,8793705,Circular,280
Sol do Iquiri,-9.943722,-67.398427,675577,8900386,Circular,150
Sol de Campinas,-10.057675,-67.308906,685329,8887733,Circular,170
Sol de Maio,-10.002809,-67.408500,674441,8893856,Circular,170
Sol do Nakahara I,-10.053906,-67.504451,663896,8888254,Circular,160
Sol do Nakahara II,-10.445017,-67.657345,646957,8845072,Circular,220
