id,name,latitude,longitude,site_type_id,reference_sources,province,district,geonames_specific,geonames_province,wikidata_sameas,full_url
1,Hisarlik (Troy),39.957367,26.238267,1,Aslan and Bieg 2003;Chabot Aslan_2008; Jablonka_2008; Chabot Aslan and Rose 2013; Chabot Aslan and Gunata 2014; Chabot Aslan and Hnila 2015 ,Canakkale,Tevfikiye,https://www.geonames.org/305894,https://www.geonames.org/317109,,https://luwianstudies.org/sites/hisarlik-troy
2,Beykoy,39.02435,30.46095,2,Gonnet_1979,Afyonkarahisar,Ablak,,https://www.geonames.org/317109,,https://luwianstudies.org/sites/beykoy
3,Karabel,38.3706,27.456017,3,Woudhuizen_2018,Izmir,Yukarikizilca,https://www.geonames.org/309426,https://www.geonames.org/317109,,https://luwianstudies.org/sites/karabel
4,Torbali-Karakuyu,38.240264,27.389695,3,Woudhuizen_2018,Izmir,Torbali,https://www.geonames.org/9888834,https://www.geonames.org/311046,https://www.wikidata.org/wiki/Q232615,https://luwianstudies.org/sites/torbali-karakuyu
5,Akpinar,38.597883,27.499167,2,Efe_1994,Manisa,Turgut Ozal Mah.,,https://www.geonames.org/315202,,https://luwianstudies.org/sites/akpinar
6,"Latmos 1, 2, 5",37.507664,27.679056,3,Woudhuizen_2018,Aydin,Kocarli,https://www.geonames.org/297928,https://www.geonames.org/315202,,https://luwianstudies.org/sites/latmos-1-2-5
7,Kocaoguz-Afyon,38.612783,31.160167,3,Woudhuizen_2018,Afyonkarahisar,Deresinek,https://www.geonames.org/316722,https://www.geonames.org/315202,,https://luwianstudies.org/sites/kocaoguz-afyon
8,Panaztepe,38.62145,26.9411,4,Erkanal_1990; Erkanal_1992; Erkanal_1993; Erkanal_1994; Erkanal_1995; Erkanal_1996; Erkanal_1997; Erkanal_1998; Erkanal_1999; Erkanal_2001; Erkanal-Oktu and Gurler 2003; Erkanal-Oktu_2004; Erkanal-Oktu and Cinardali-Karaaslan_2006; Erkanal-Oktu and Cinardali-Karaaslan_2007,Izmir,Kesik,,,,https://luwianstudies.org/sites/panaztepe
9,Sardis,38.487067,28.04015,2,Spier_1983; Ramaga_1983,Manisa,Sart,https://www.geonames.org/301496,https://www.geonames.org/304827,https://www.wikidata.org/wiki/Q22647,https://luwianstudies.org/sites/sardis
10,Musgebi-Bodrum ,37.041583,27.353133,4,Boysal_1964; Boysal_1965; Boysal_1967,Mugla,Muskebi,https://www.geonames.org/746983,https://www.geonames.org/747712,https://www.wikidata.org/wiki/Q1036554,https://luwianstudies.org/sites/musgebi-bodrum
