# Red Sea 150KYr Relative Sea Level Reconstruction
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/13685
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-ocean-13685.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Paleoceanography
#
# Dataset_DOI: 10.25921/mf4a-k406
#
# Science_Keywords: sea level, Sea Level Reconstruction
#--------------------
# Resource_Links
#
# Data_Download_Resource:  https://www.ncei.noaa.gov/pub/data/paleo/contributions_by_author/grant2012/grant2012rsl-noaa.txt
#   Data_Download_Description: NOAA Template File; Relative Sea Level Data
#
#--------------------
# Contribution_Date
#   Date: 2013-01-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-12-17
#--------------------
# Title
#   Study_Name: Red Sea 150KYr Relative Sea Level Reconstruction
#--------------------
# Investigators
#   Investigators: Grant, K.M.(https://orcid.org/0000-0003-4299-5504); Rohling, E.J.(https://orcid.org/0000-0001-5349-2158); Bar-Matthews, M.(https://orcid.org/0000-0001-8373-5341); Ayalon, A.; Medina-Elizalde, M.(https://orcid.org/0000-0002-0186-9096); Bronk Ramsey, C.(https://orcid.org/0000-0002-8641-9309); Satow, C.(https://orcid.org/0000-0001-7697-0562); Roberts, A.P.(https://orcid.org/0000-0003-0566-8117)
#--------------------
# Description_Notes_and_Keywords
#   Description: All datapoints in the Red Sea sea-level record (RSL) on its new chronology, including fully-propagated chronological uncertainties and RSL smoothed with a 1 kyr moving Gaussian filter
#--------------------
# Publication
#   Authors: K.M. Grant, E.J. Rohling, M. Bar-Matthews, A. Ayalon, M. Medina-Elizalde, C. Bronk Ramsey, C. Satow and A.P. Roberts
#   Journal_Name: Nature
#   Published_Title: Rapid coupling between ice volume and polar temperature over the past 150,000  years
#   Published_Date_or_Year: 2012
#   Volume: 491
#   Issue: 7246
#   Pages: 744-747
#   Report_Number: 
#   DOI: 10.1038/nature11593
#   Full_Citation:
#   Abstract: Current global warming necessitates a detailed understanding of the relationships between climate and global ice volume. Highly resolved and continuous sea-level records are essential for quantifying ice-volume changes. However, an unbiased study of the timing of past ice-volume changes, relative to polar climate change, has so far been impossible because available sea-level records either were dated by using orbital tuning or ice-core timescales, or were discontinuous in time. Here we present an independent dating of a continuous, high-resolution sea-level record in millennial-scale detail throughout the past 150,000 years. We find that the timing of ice-volume fluctuations agrees well with that of variations in Antarctic climate and especially Greenland climate. Amplitudes of ice-volume fluctuations more closely match Antarctic (rather than Greenland) climate changes. Polar climate and ice-volume changes, and their rates of change, are found to covary within centennial response times. Finally, rates of sea-level rise reached at least 1.2 m per century during all major episodes of ice-volume reduction.
#--------------------
# Funding_Agency
#   Funding_Agency_Name: UK Natural Environment Research Council (NERC)
#   Grant: NE/H004424/1, NE/E01531X/1, NE/I009906/1
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Australian Postgraduate Award
#   Grant: FL120100050
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Royal Society
#   Grant: Wolfson Research Merit Award
#--------------------
# Site_Information
#   Site_Name: Red Sea
#   Location: Red Sea
#   Northernmost_Latitude: 28.0
#   Southernmost_Latitude: 12.0
#   Easternmost_Longitude: 42.0
#   Westernmost_Longitude: 34.0
#   Elevation_m: 
#--------------------
# Data_Collection
#   Collection_Name: RedSeaRSL2012
#   First_Year: 153004
#   Last_Year: 69
#   Time_Unit: cal yr BP
#   Core_Length_m:
#   Parameter_Keywords: reconstruction
#   Notes: All datapoints in the Red Sea sea-level record (RSL) on its new chronology, including fully-propagated chronological uncertainties and RSL smoothed with a 1 kyr moving Gaussian filter
#--------------------
# Chronology_Information
# Chronology:
#--------------------
# Variables
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables list, one per line, shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_calkaBP	age,,,calendar kiloyear before present,,paleoceanography,,,N,
## sealev	sea level,delta 18O,,meter,,climate reconstructions;paleoceanography,,,N,meters below modern sea level
## sealeverr	sea level,delta 18O,two standard deviations,meter,,climate reconstructions;paleoceanography,,,N,meters below modern sea level
## age_calkaBPsm	age,,,calendar kiloyear before present,,paleoceanography,,,N,
## sealevsm	sea level,delta 18O,,meter,,climate reconstructions;paleoceanography,smoothed,,N,1 kyr moving Gaussian filter; meters below modern sea level
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values: NA
age_calkaBP	sealev	sealeverr	age_calkaBPsm	sealevsm
0.069	0.74	0.070	0.069	1.054
0.222	7.24	0.074	0.222	0.752
0.324	-2.28	0.076	0.324	0.557
0.477	-0.10	0.080	0.477	0.297
0.579	-6.19	0.082	0.579	0.155
0.732	3.72	0.086	0.732	-0.007
0.808	8.11	0.087	0.808	-0.064
0.833	-2.17	0.088	0.833	-0.079
0.986	-0.81	0.092	0.986	-0.120
1.079	-11.20	0.094	1.079	-0.101
1.088	1.31	0.094	1.088	-0.097
1.171	-2.51	0.096	1.171	-0.044
1.216	1.48	0.097	1.216	-0.002
1.241	-2.32	0.097	1.241	0.026
1.262	8.16	0.098	1.262	0.052
1.343	2.03	0.100	1.343	0.168
1.354	-0.61	0.100	1.354	0.186
1.420	-2.89	0.102	1.420	0.302
1.446	1.49	0.102	1.446	0.353
1.537	1.84	0.104	1.537	0.542
1.598	-4.81	0.106	1.598	0.670
1.629	-0.27	0.106	1.629	0.733
1.700	-2.47	0.108	1.700	0.867
1.720	-1.32	0.108	1.720	0.901
1.812	5.69	0.111	1.812	1.014
1.853	4.02	0.111	1.853	1.040
1.904	6.04	0.113	1.904	1.047
1.955	4.91	0.114	1.955	1.025
1.995	3.58	0.115	1.995	0.985
2.087	10.25	0.117	2.087	0.828
2.108	-2.67	0.117	2.108	0.781
2.178	-1.61	0.119	2.178	0.591
2.210	-4.40	0.120	2.210	0.496
2.270	-2.83	0.121	2.270	0.297
2.362	-4.32	0.123	2.362	-0.027
2.362	3.08	0.123	2.362	-0.030
2.439	6.96	0.125	2.439	-0.305
2.453	-3.16	0.125	2.453	-0.356
2.464	0.63	0.126	2.464	-0.395
2.545	-1.62	0.127	2.545	-0.669
2.617	0.09	0.129	2.617	-0.893
2.637	-1.99	0.129	2.636	-0.949
2.719	-5.46	0.131	2.719	-1.161
2.728	0.76	0.132	2.728	-1.181
2.820	-1.00	0.134	2.820	-1.356
2.872	-6.36	0.135	2.872	-1.427
2.911	-0.65	0.136	2.911	-1.466
2.974	-2.05	0.137	2.974	-1.506
3.003	-1.35	0.138	3.003	-1.515
3.095	-3.49	0.140	3.095	-1.514
3.127	-1.34	0.141	3.127	-1.506
3.186	-6.76	0.142	3.186	-1.487
3.229	-3.85	0.143	3.229	-1.474
3.278	8.12	0.144	3.278	-1.465
3.369	1.80	0.146	3.369	-1.482
3.382	-6.25	0.147	3.382	-1.490
3.458	2.70	0.148	3.458	-1.570
3.461	1.80	0.148	3.461	-1.574
3.484	-12.52	0.149	3.484	-1.612
3.553	13.03	0.151	3.553	-1.769
3.637	-7.22	0.152	3.637	-2.056
3.694	-0.31	0.154	3.694	-2.312
3.739	1.32	0.155	3.739	-2.544
3.836	0.74	0.157	3.836	-3.133
3.892	-8.76	0.158	3.892	-3.512
3.977	-0.67	0.160	3.977	-4.124
3.993	-9.47	0.161	3.993	-4.241
4.119	-5.62	0.164	4.119	-5.130
4.146	-9.49	0.164	4.146	-5.318
4.248	-6.81	0.167	4.248	-5.975
4.260	-3.20	0.167	4.260	-6.049
4.401	-13.47	0.170	4.401	-6.869
4.402	-3.93	0.170	4.402	-6.873
4.478	-9.02	0.172	4.478	-7.292
4.503	-3.39	0.172	4.503	-7.431
4.543	-3.20	0.173	4.543	-7.648
4.656	-10.71	0.176	4.656	-8.244
4.685	-4.37	0.177	4.685	-8.391
4.758	-6.99	0.178	4.758	-8.740
4.827	-11.67	0.180	4.827	-9.026
4.911	-9.41	0.182	4.911	-9.293
4.968	-21.11	0.183	4.968	-9.408
5.013	-13.50	0.184	5.013	-9.454
5.166	-13.43	0.188	5.166	-9.321
5.251	-10.19	0.190	5.251	-9.077
5.268	-3.39	0.190	5.268	-9.019
5.393	-6.80	0.193	5.393	-8.510
5.421	-12.32	0.193	5.421	-8.385
5.497	-14.43	0.195	5.497	-8.034
5.523	-2.84	0.196	5.523	-7.916
5.534	1.40	0.196	5.534	-7.862
5.675	-10.09	0.199	5.675	-7.223
5.676	-15.62	0.199	5.676	-7.221
5.777	0.24	0.202	5.777	-6.792
5.817	-3.96	0.203	5.817	-6.634
5.930	-11.16	0.205	5.930	-6.235
5.959	-12.50	0.206	5.959	-6.147
6.032	2.47	0.207	6.032	-5.953
6.100	0.34	0.209	6.100	-5.818
6.185	-11.31	0.211	6.185	-5.716
6.242	-3.97	0.212	6.242	-5.690
6.287	0.56	0.213	6.287	-5.695
6.384	-2.44	0.216	6.384	-5.782
6.440	-7.74	0.217	6.440	-5.882
6.516	-0.31	0.219	6.516	-6.085
6.525	-13.28	0.219	6.525	-6.113
6.571	-10.43	0.220	6.571	-6.285
6.667	-9.88	0.222	6.667	-6.763
6.768	-4.38	0.224	6.768	-7.497
6.808	-5.26	0.225	6.808	-7.854
6.948	-3.97	0.229	6.948	-9.396
6.950	1.02	0.229	6.950	-9.420
7.050	-0.74	0.231	7.050	-10.714
7.150	-12.12	0.233	7.150	-12.017
7.217	-7.54	0.235	7.217	-12.827
7.250	-24.08	0.235	7.250	-13.197
7.350	-28.07	0.238	7.350	-14.163
7.379	-10.94	0.239	7.379	-14.394
7.412	-25.18	0.240	7.412	-14.638
7.473	-17.35	0.242	7.473	-15.023
7.535	-10.24	0.245	7.535	-15.330
7.544	-8.83	0.245	7.544	-15.370
7.597	-28.08	0.247	7.597	-15.570
7.655	-5.54	0.249	7.655	-15.749
7.658	-29.14	0.250	7.658	-15.759
