Longitude,Latitude,Database
-67.253296,-8.843822,Amazon Arch
-66.15,-11.13333333,Amazon Arch
-66.18388889,-11.18138889,Amazon Arch
-66.23805556,-11.22444444,Amazon Arch
-66.32027778,-11.06444444,Amazon Arch
-66.01027778,-10.98805556,Amazon Arch
-66.01444444,-10.97333333,Amazon Arch
-66.12861111,-11.03583333,Amazon Arch
-67.172119,-8.886457,Amazon Arch
-67.220108,-10.306902,Amazon Arch
-67.177322,-10.216468,Amazon Arch
-67.158638,-10.217768,Amazon Arch
-67.53389,-9.8725,Amazon Arch
-67.496941,-9.963056,Amazon Arch
-67.544724,-10.070833,Amazon Arch
-67.652779,-10.295278,Amazon Arch
-67.34417,-9.787222,Amazon Arch
-67.344719,-9.771389,Amazon Arch
-67.571114,-10.079722,Amazon Arch
-67.632858,-10.523973,Amazon Arch
-67.541115,-10.328333,Amazon Arch
-67.566391,-10.433333,Amazon Arch
-67.607498,-10.357224,Amazon Arch
-67.490555,-9.963611,Amazon Arch
-67.916946,-9.696111,Amazon Arch
-67.746948,-9.827778,Amazon Arch
-67.59776909,-9.933250651,Amazon Arch
-68.18528,-10.051667,Amazon Arch
-67.507225,-10.025,Amazon Arch
-68.011665,-10.000833,Amazon Arch
-67.673615,-9.978889,Amazon Arch
-67.665207,-9.978019,Amazon Arch
-67.2833307,-9.12829855,Amazon Arch
-67.2770872,-9.12128925,Amazon Arch
-67.276495,-9.13285,Amazon Arch
-67.282249,-9.232013,Amazon Arch
-64.31785037,-12.28516774,Amazon Arch
-63.43389062,-12.22244338,Amazon Arch
-63.43014569,-12.18969778,Amazon Arch
-65.13842,-11.613898,Amazon Arch
-64.17454022,-12.46006862,Amazon Arch
-64.212607,-12.432514,Amazon Arch
-64.33598093,-12.43723251,Amazon Arch
-64.825282,-12.017119,Amazon Arch
-62.27666667,-13.075,Amazon Arch
-62.21305556,-13.02833333,Amazon Arch
-62.25,-13.05527778,Amazon Arch
-62.56527778,-13.055,Amazon Arch
-54.895503,-2.706999,Amazon Arch
-54.90156342,-2.727352189,Amazon Arch
-54.87155095,-2.686940816,Amazon Arch
-54.83243508,-2.655826137,Amazon Arch
-54.78072705,-2.640148344,Amazon Arch
-54.7318411,-2.621382944,Amazon Arch
-54.96611,-2.727337,Amazon Arch
-54.89023008,-2.831357493,Amazon Arch
-54.75443786,-2.622418323,Amazon Arch
-54.816199,-2.640862,Amazon Arch
-54.81295562,-2.639591026,Amazon Arch
-54.81812254,-2.651099727,Amazon Arch
-54.71146306,-2.561375003,Amazon Arch
-54.95694328,-2.681753034,Amazon Arch
-54.71798919,-2.581328809,Amazon Arch
-54.94162464,-2.739311009,Amazon Arch
-54.91832993,-2.733420938,Amazon Arch
-54.92203025,-2.735723833,Amazon Arch
-54.71972211,-2.567229617,Amazon Arch
-54.95724816,-2.746471513,Amazon Arch
-54.83146262,-2.666998631,Amazon Arch
-54.96658233,-2.735113441,Amazon Arch
-54.81012527,-2.586934141,Amazon Arch
-54.90021829,-2.75114579,Amazon Arch
-54.85915904,-2.626219187,Amazon Arch
-54.96903836,-2.73426773,Amazon Arch
-54.96467525,-2.714260749,Amazon Arch
-67.1974,-9.18317,Amazon Arch
-68.179398,-10.7133224,Amazon Arch
-68.1691461,-10.7023466,Amazon Arch
-68.1893166,-10.7593939,Amazon Arch
-68.151108,-10.762333,Amazon Arch
-67.7274826,-10.601693,Amazon Arch
-67.6892259,-10.5945125,Amazon Arch
-67.6660525,-10.2435457,Amazon Arch
-67.7142123,-10.3507858,Amazon Arch
-67.6569589,-10.2084688,Amazon Arch
-68.3147193,-10.6685271,Amazon Arch
-67.7221998,-10.3658211,Amazon Arch
-63.6723981,-13.6486583,Amazon Arch
-63.6555385,-13.6336057,Amazon Arch
-63.6552725,-13.6416805,Amazon Arch
-63.4902489,-13.7242501,Amazon Arch
-63.4528767,-13.7412284,Amazon Arch
-63.4348695,-13.6928255,Amazon Arch
-67.0645428,-9.72924204,Amazon Arch
-67.8030074,-10.5980065,Amazon Arch
-67.6958685,-10.6076267,Amazon Arch
-67.7139984,-10.3918379,Amazon Arch
-67.5356958,-10.2667605,Amazon Arch
-67.2742223,-10.2180484,Amazon Arch
-67.3880263,-10.1672235,Amazon Arch
-67.3739462,-10.1000601,Amazon Arch
-67.5823507,-10.1524346,Amazon Arch
-67.8585105,-10.1554832,Amazon Arch
-67.4226735,-10.080162,Amazon Arch
-67.2553409,-10.0337197,Amazon Arch
-67.14215492,-10.01481698,Amazon Arch
-67.1895946,-9.99100452,Amazon Arch
-66.8599883,-9.89114324,Amazon Arch
-66.9033374,-10.0402051,Amazon Arch
-67.2323838,-9.85535505,Amazon Arch
-67.1929992,-9.76498642,Amazon Arch
-67.196583,-9.74933832,Amazon Arch
-67.8201741,-10.6236795,Amazon Arch
-67.7960911,-10.3224208,Amazon Arch
-62.3343139,-11.8927683,Amazon Arch
-67.6913873,-10.6725748,Amazon Arch
-67.3129851,-10.087187,Amazon Arch
-67.6042063,-10.3281222,Amazon Arch
-67.8100925,-10.6136594,Amazon Arch
-66.0467019,-9.7734859,Amazon Arch
-61.9037118,-13.2508137,Amazon Arch
-66.948,-9.78472,Amazon Arch
-67.1384,-9.74017,Amazon Arch
-67.1614,-9.75821,Amazon Arch
-67.2463,-9.10884,Amazon Arch
-66.637,-9.79217,Amazon Arch
-67.3207,-10.074,Amazon Arch
-67.2037,-9.21965,Amazon Arch
-67.2008,-9.2119,Amazon Arch
-67.1956,-9.18611,Amazon Arch
-67.2041,-9.18854,Amazon Arch
-67.231,-9.21308,Amazon Arch
-67.2443,-9.10936,Amazon Arch
-67.2351,-9.10819,Amazon Arch
-67.2133,-9.12831,Amazon Arch
-67.2237,-9.15624,Amazon Arch
-67.224,-9.15468,Amazon Arch
-67.2261,-9.15799,Amazon Arch
-67.2184,-9.15924,Amazon Arch
-67.1659,-9.16723,Amazon Arch
-67.1654,-9.17211,Amazon Arch
-67.1645,-9.17741,Amazon Arch
-67.1552,-9.18326,Amazon Arch
-67.1494,-9.1544,Amazon Arch
-67.1963,-9.05217,Amazon Arch
-67.1883,-9.04473,Amazon Arch
-67.2293,-9.01412,Amazon Arch
-67.1419,-8.98931,Amazon Arch
-67.1754,-9.00069,Amazon Arch
-67.2666,-9.00851,Amazon Arch
-67.2799,-9.58716,Amazon Arch
-67.2734,-9.47248,Amazon Arch
-67.1735,-9.56391,Amazon Arch
-67.1698,-9.55974,Amazon Arch
-67.1668,-9.54829,Amazon Arch
-67.1675,-9.64017,Amazon Arch
-67.318,-10.0757,Amazon Arch
-67.3042,-10.0472,Amazon Arch
-67.9435,-9.33285,Amazon Arch
-66.941,-9.85634,Amazon Arch
-66.9844,-9.91564,Amazon Arch
-66.3111,-9.80781,Amazon Arch
-66.3479,-9.83723,Amazon Arch
-66.3484,-9.81979,Amazon Arch
-66.3215,-9.80802,Amazon Arch
-67.4158,-10.0664,Amazon Arch
-67.7875,-10.3229,Amazon Arch
-68.4107,-10.7164,Amazon Arch
-68.446,-10.7762,Amazon Arch
-68.4518,-10.7831,Amazon Arch
-68.4438,-10.7801,Amazon Arch
-68.4699,-10.8305,Amazon Arch
-67.8763,-10.6231,Amazon Arch
-67.7272,-10.6002,Amazon Arch
-67.6307,-10.6186,Amazon Arch
-67.6701,-10.419,Amazon Arch
-67.6724,-10.4162,Amazon Arch
-67.624,-10.3811,Amazon Arch
-67.658,-10.3811,Amazon Arch
-67.7673,-10.5001,Amazon Arch
-67.5316,-10.3351,Amazon Arch
-67.6338,-10.2845,Amazon Arch
-67.7189,-10.3656,Amazon Arch
-67.7208,-10.3646,Amazon Arch
-67.1584,-9.74537,Amazon Arch
-67.1727,-9.68446,Amazon Arch
-67.1736,-9.68504,Amazon Arch
-67.1648,-9.9175,Amazon Arch
-67.2205,-9.78186,Amazon Arch
-67.2594,-9.73443,Amazon Arch
-67.2303,-9.70933,Amazon Arch
-66.8633,-9.92153,Amazon Arch
-66.6735,-9.76059,Amazon Arch
-66.5078,-9.65593,Amazon Arch
-66.4193,-9.77016,Amazon Arch
