name,lat,lon,type,classification,gc_distance_km,source,department,province,district,ubigeo,code
SITIO ARQUE,-13.280398135,-72.4502664359999,Sitio Arqueologico,site,0.04,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
Pikchu,-14.0302872599999,-73.9432500249999,Sitio Arqueologico,site,0.05,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
NN,-13.0920361759999,-72.0820782339999,Sitio Arqueologico,site,0.09,INC_GeoGPSPeru,cusco,calca,lares,,
Curamba,-13.6252478119999,-73.1361253119999,Sitio Arqueologico,site,0.09,INC_GeoGPSPeru,apurimac,andahuaylas,kishuara,,
Curamba,-13.623394088800003,-73.1372018088,Sitio Arqueologico,site,0.32,MinCultura_BIP,,,,030207,
Piedras de Potongo,-13.939741077,-73.7550638369999,Sitio Arqueologico,site,0.37,INC_GeoGPSPeru,ayacucho,sucre,querobamba,,
NN,-13.4395754219999,-72.7740925259999,Sitio Arqueologico,site,0.41,INC_GeoGPSPeru,cusco,la convencion,santa teresa,,
Wankañayry,-14.035266604,-73.9448754839999,Sitio Arqueologico,site,0.46,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
Apongo,-14.0202643059999,-73.9336014179999,Sitio Arqueologico,site,0.47,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
Pukiopampa 3,-14.0250630269999,-73.9435146899999,Sitio Arqueologico,site,0.48,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
NN,-13.4441303949999,-72.7844087509999,Sitio Arqueologico,site,0.48,INC_GeoGPSPeru,cusco,la convencion,santa teresa,,
Wachhualla,-13.9292170589999,-73.7512792839999,Sitio Arqueologico,site,0.49,INC_GeoGPSPeru,ayacucho,sucre,san salvador de qui*,,
Pukiopampa 1,-14.0246073359999,-73.9426741619999,Sitio Arqueologico,site,0.49,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
INKARAKAY,-13.442619782,-72.7607519829999,Sitio Arqueologico,site,0.55,INC_GeoGPSPeru,cusco,anta,mollepata,,
Wachwalla,-13.9279022279999,-73.7504996569999,Sitio Arqueologico,site,0.58,INC_GeoGPSPeru,ayacucho,sucre,querobamba-san salv*,,
Chintirllapata,-13.9421070669999,-73.7545698529999,Sitio Arqueologico,site,0.62,INC_GeoGPSPeru,ayacucho,sucre,querobamba,,
Plaza Pampa,-13.8980663739999,-73.6928782729999,Sitio Arqueologico,site,0.69,INC_GeoGPSPeru,ayacucho,sucre,san salvador de qui*,,
Q'OTOLAMBRA,-13.1931440869999,-72.2937058729999,Sitio Arqueologico,site,0.73,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
Wankañayry 2,-14.0359513939999,-73.9402146019999,Sitio Arqueologico,site,0.76,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
Sanqasanqa 2,-14.0820099779999,-74.032158567,Sitio Arqueologico,site,0.79,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
Camino antiguo Toqtosa a Potongo (punto final),-13.944061577,-73.7549296039999,Sitio Arqueologico,pathway,0.8,INC_GeoGPSPeru,ayacucho,sucre,querobamba,,
Sanqasanqa 1,-14.0831761049999,-74.0343858159999,Sitio Arqueologico,site,0.8,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
Wankañayry Wayqo,-14.0379708079999,-73.9430574089999,Sitio Arqueologico,site,0.82,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
NN,-13.4453849879999,-72.7607632639999,Sitio Arqueologico,site,0.82,INC_GeoGPSPeru,cusco,anta,mollepata,,
Trankaqasa,-14.031016162,-73.9280885189999,Sitio Arqueologico,site,0.87,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
TANKAQ2,-13.2025844149999,-72.3160339419999,Sitio Arqueologico,site,0.92,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
Tumbas de Wachhualla,-13.9238053219999,-73.7501607239999,Sitio Arqueologico,site,0.97,INC_GeoGPSPeru,ayacucho,sucre,san salvador de qui*,,
Wachwalla,-13.639858687,-73.1416849509999,Sitio Arqueologico,site,1.08,INC_GeoGPSPeru,apurimac,andahuaylas,kishuara,,
NN,-13.433946058,-72.7764960359999,Sitio Arqueologico,site,1.09,INC_GeoGPSPeru,cusco,la convencion,santa teresa,,
TANKAQ1,-13.2176829489999,-72.3051914909999,Sitio Arqueologico,site,1.11,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
Uchkullulluq,-14.0362474329999,-73.9335183069999,Sitio Arqueologico,site,1.12,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
Q'OLLPANI,-13.188118668,-72.2917329719999,Sitio Arqueologico,site,1.13,INC_GeoGPSPeru,cusco,urubamba,ollantaytambo,,
Muyu Muyu,-14.032261537,-73.9235176789999,Sitio Arqueologico,site,1.22,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
Wayllani,-14.0304953329999,-73.9166922889999,Sitio Arqueologico,site,1.38,INC_GeoGPSPeru,ayacucho,víctor fajardo,apongo,,
NN,-13.082090885,-72.0891885799999,Sitio Arqueologico,site,1.43,INC_GeoGPSPeru,cusco,calca,lares,,
