lat,lon,country,site_name,site_type,feature_type,n_dates
50.7869,6.0792,DE,"Aachen, Lousberg",mine,mine,24
48.8347,11.8782,DE,Abensberg,,,102
51.25,10.7667,DE,Abtsbessingen,single grave,single grave,5
52.3919,7.9389,DE,Achmer,miscellaneous,miscellaneous,12
52.7667,9.55,DE,Ahlden,settlement,settlement,6
48.0463,9.6612,DE,Aichbühl,,,48
48.6228,9.2372,DE,Aichtal-GrÃ¶tzingen,,,4
48.8448,12.6245,DE,Aiterhofen,single grave,single grave,4
48.845,12.619,DE,Aiterhofen-Ödmühle,,,2
54.1436,9.2909,DE,Albersdorf: LA 56: Bredenhoop,non-megalithic long tumulus/megalithic graves,non-megalithic long tumulus/megalithic graves,20
51.45,11.63,DE,Alberstedt,grave (flat) inhumation,grave (flat) inhumation,18
48.8833,12.5332,DE,Alburg-Lerchenhaid,grave (flat) inhumation,grave (flat) inhumation,8
50.8952,6.2828,DE,Aldenhoven,settlement,settlement,8
48.8722,9.2575,DE,Aldingen,single grave,single grave,5
47.718,9.0657,DE,Allensbach-Kapplerfeld,,,8
47.7229,9.0444,DE,Allensbach-Lohhorn,,,8
47.7195,9.0532,DE,Allensbach-Seeweg,,,4
47.7098,9.0798,DE,Allensbach-Strandbad,,,69
48.1,9.6167,DE,Alleshausen,settlement,settlement,21
48.1027,9.6215,DE,"Alleshausen \""""Hartäschle\""""",settlement,settlement,12
48.1066,9.6244,DE,"Alleshausen, Grundwiesen",settlement,settlement,55
48.09,9.62,DE,"Alleshausen, TÃ¤schenwiesen",,,24
51.7,11.6667,DE,Alsleben,settlement,settlement,4
48.55,12.08,DE,Altdorf-Aich I,,,2
51.5,4.5839,DE,Altenbochum,settlement,settlement,3
51.2167,9.2,DE,Altendorf,gallery grave,gallery grave,12
51.2333,16.711,DE,Ammern,settlement,settlement,5
48.5422,8.92,DE,Ammersbuch-Reusten,settlement,settlement,3
50.6273,9.445,DE,Angersbach,,,4
49.6667,9.3333,DE,Ãœlvesheim,settlement,settlement,8
51.9336,10.9498,DE,Aspenstedt,settlement,settlement,5
51.6,4.1494,DE,Atteln I,collective burial,collective burial,10
48.8873,12.5054,DE,Atting-Rinkam,settlement,settlement,12
48.33,10.9,DE,Augsburg,grave (inhumation),grave (inhumation),28
51.6,11.5667,DE,"Augsdorf, Bröddelberg",single grave,single grave,5
54.4782,13.4685,DE,"Augustenhof, Ralswiek",settlement,settlement,21
51.4333,10.9333,DE,"Auleben, Solberg",single grave,single grave,10
54.3592,13.7061,DE,Baabe,,,8
51.7667,4.1497,DE,"Baalberge, Schneiderberg",single grave,single grave,3
48.0616,9.6077,DE,Bad Buchau,,,4
48.0667,9.6167,DE,"Bad Buchau, Torwiesen",settlement,settlement,57
48.063,9.5922,DE,Bad Buchau-Bachwiesen,settlement,settlement,10
48.0617,9.6081,DE,Bad Buchau-Bachwiesen III,,,12
48.062,9.6088,DE,Bad Buchau-Bahndamm,,,9
48.0622,9.6204,DE,Bad Buchau-Dullenried,,,12
48.0627,9.6066,DE,Bad Buchau-Wuhrstraße,,,32
47.9322,7.9505,DE,Bad Dürrrheim-Oberried,,,8
50.3673,8.7395,DE,Bad Nauheim-Steinfurth,settlement,settlement,18
48.0048,9.6565,DE,"Bad Schussenried \""""Schussenausbau\""""",,,8
51.45,9.95,DE,"Ballenhausen, Abri Mühltal I",rockshelter/cave,rockshelter/cave,4
52.2019,11.6177,DE,Barleben,settlement,settlement,15
53.883,10.2999,DE,Bebensee LA 26,,,8
53.8896,10.3107,DE,Bebensee LA 76,settlement,settlement,85
51.0,6.5833,DE,Bedburg-Königshofen,,,33
51.82,10.91,DE,Benzingerode,,,3
51.8392,10.8933,DE,Benzingerode Totenhütte,collective burial,collective burial,24
50.15,14.35,DE,Benzingrode-Heimburg,,,2
51.1679,9.1365,DE,Bergheim,settlement,settlement,8
50.009,10.18,DE,Bergrheinfeld,,,2
52.379,13.649,DE,Berlin-Schmöckwitz,single grave,single grave,7
