name,lat,lon,type
"Mound S of Woodbrook",52.183948,-3.018721,scheduled_monument
"Castle Twts",52.192745,-3.059066,scheduled_monument
"Lyonshall Castle",52.201031,-2.979342,scheduled_monument
"Mound 1200yds (1100m) NNE of the Church",52.307420,-2.921963,scheduled_monument
"Limebrook Priory",52.289193,-2.919033,scheduled_monument
"Two bowl barrows, one 220m east of Lower Longbeak and the other 320m east of Higher Longbeak",50.800606,-4.557574,scheduled_monument
"Megalithic tomb 220yds (200m) SW of Trevarthen",50.109354,-5.631627,scheduled_monument
"Hut circle 280yds (250m) SW of Trevarthen",50.108888,-5.631858,scheduled_monument
"Cast iron footbridge at Perran Mill",50.203897,-5.118630,scheduled_monument
"Round cairn 185m NNW of Old Hilltop Farm",50.183039,-5.229351,scheduled_monument
"Kerbed cairn called Hangman's Barrow",50.184219,-5.260493,scheduled_monument
"Round cairn and kerbed cairn 300m north east of Blackrock Farm",50.169309,-5.272125,scheduled_monument
"Two bowl barrows 250m west of Silverwell Farm",50.155609,-5.178242,scheduled_monument
"Offa's Dyke: Rushock Hill section, extending 1630yds (1490m) E to Kennel Wood",52.229436,-3.032720,scheduled_monument
"Offa's Dyke: the section extending 165yds (150m) N from Berry Wood",52.222340,-2.991083,scheduled_monument
"Offa's Dyke: the section 630yds (580m) long W of Lyonshall",52.198073,-2.984763,scheduled_monument
"Offa's Dyke: the section E of Garden Wood, extending SE 85yds (80m)",52.192650,-2.979538,scheduled_monument
"Offa's Dyke: section NW of Holme Marsh extending 615yds (560m) to the railway",52.189358,-2.974287,scheduled_monument
"Offa's Dyke: Upperton Farm, two sections extending 195yds (180m) and 370yds (340m) S from Yazor",52.113008,-2.885351,scheduled_monument
"Offa's Dyke: the section extending 230yds (210m) N and S of the Old Barn near Kenmoor Coppice (SE of Bowmore Wood)",52.105021,-2.884667,scheduled_monument
"Offa's Dyke: the section extending 950yds (870m) N and S of Big Oaks",52.083883,-2.867744,scheduled_monument
"Castle Frome Castle",52.109515,-2.481639,scheduled_monument
"Moated site SW of the church",52.051447,-2.770312,scheduled_monument
"Bronsil Castle",52.032744,-2.366574,scheduled_monument
"Westington Camp",52.206213,-2.615718,scheduled_monument
"Camp in Chase Wood",51.898735,-2.579341,scheduled_monument
"Mortimer's Castle N and E of St Bartholomew's Church",51.993105,-2.500559,scheduled_monument
"Great Howle Camp",51.879129,-2.565768,scheduled_monument
"Chapel and gatehouse",52.201586,-2.459223,scheduled_monument
"Sutton Walls (camp)",52.113908,-2.694778,scheduled_monument
"Wall Hills Camp",52.235114,-2.543312,scheduled_monument
"Risbury Camp",52.193570,-2.672218,scheduled_monument
"Croft Ambrey (camp)",52.296315,-2.816023,scheduled_monument
"Oldcastle Twt",52.162344,-2.983623,scheduled_monument
"Almeley Castle",52.157135,-2.977559,scheduled_monument
"Aston Tump",52.342523,-2.791274,scheduled_monument
"Aconbury Camp",51.993784,-2.724347,scheduled_monument
"Walterstone Camp",51.920564,-2.947953,scheduled_monument
