epoch,ra,dec,celestial_pole_ra,celestial_pole_dec
-23000,217.335,64.422,349.636,83.489
-22900,217.118,64.972,349.018,82.756
-22800,216.907,65.521,348.413,82.029
-22700,216.702,66.069,347.819,81.31
-22600,216.505,66.617,347.231,80.598
-22500,216.317,67.164,346.648,79.892
-22400,216.137,67.712,346.069,79.194
-22300,215.968,68.258,345.492,78.503
-22200,215.81,68.805,344.916,77.818
-22100,215.665,69.35,344.341,77.141
-22000,215.533,69.896,343.766,76.47
-21900,215.417,70.44,343.191,75.806
-21800,215.317,70.985,342.615,75.148
-21700,215.237,71.528,342.039,74.497
-21600,215.177,72.071,341.462,73.853
-21500,215.141,72.613,340.884,73.215
-21400,215.13,73.154,340.305,72.583
-21300,215.147,73.694,339.724,71.958
-21200,215.196,74.233,339.142,71.34
-21100,215.281,74.771,338.558,70.727
-21000,215.405,75.307,337.973,70.121
-20900,215.573,75.842,337.386,69.522
-20800,215.791,76.374,336.797,68.928
-20700,216.065,76.905,336.206,68.341
-20600,216.403,77.433,335.614,67.76
-20500,216.811,77.958,335.019,67.185
-20400,217.301,78.48,334.423,66.616
-20300,217.883,78.998,333.824,66.053
-20200,218.571,79.512,333.224,65.496
-20100,219.38,80.021,332.621,64.945
-20000,220.329,80.524,332.017,64.4
-19900,221.439,81.019,331.41,63.861
-19800,222.737,81.507,330.801,63.328
-19700,224.252,81.985,330.19,62.802
-19600,226.02,82.451,329.577,62.28
-19500,228.084,82.903,328.962,61.765
-19400,230.492,83.339,328.345,61.256
-19300,233.299,83.754,327.725,60.753
-19200,236.563,84.145,327.104,60.255
-19100,240.346,84.506,326.48,59.764
-19000,244.7,84.831,325.854,59.278
-18900,249.66,85.114,325.225,58.798
-18800,255.225,85.345,324.595,58.324
-18700,261.337,85.519,323.962,57.856
-18600,267.873,85.627,323.328,57.393
-18500,274.641,85.665,322.691,56.937
-18400,281.408,85.632,322.051,56.486
-18300,287.941,85.53,321.41,56.041
-18200,294.048,85.362,320.766,55.602
-18100,299.604,85.137,320.121,55.169
-18000,304.551,84.861,319.473,54.742
-17900,308.887,84.544,318.823,54.321
-17800,312.646,84.192,318.17,53.905
-17700,315.882,83.81,317.516,53.495
-17600,318.655,83.406,316.859,53.092
-17500,321.024,82.982,316.2,52.694
-17400,323.044,82.543,315.539,52.302
-17300,324.763,82.09,314.876,51.916
-17200,326.224,81.628,314.211,51.536
-17100,327.462,81.157,313.543,51.162
-17000,328.508,80.679,312.874,50.794
-16900,329.388,80.195,312.202,50.432
-16800,330.122,79.707,311.529,50.076
-16700,330.731,79.215,310.853,49.726
-16600,331.229,78.721,310.175,49.382
-16500,331.63,78.223,309.495,49.044
-16400,331.944,77.725,308.813,48.712
-16300,332.183,77.224,308.129,48.387
-16200,332.353,76.723,307.444,48.067
-16100,332.462,76.222,306.756,47.754
-16000,332.517,75.72,306.066,47.447
-15900,332.522,75.218,305.374,47.146
-15800,332.483,74.717,304.68,46.851
-15700,332.403,74.216,303.985,46.563
-15600,332.287,73.716,303.287,46.281
-15500,332.137,73.217,302.588,46.005
-15400,331.956,72.719,301.887,45.736
-15300,331.747,72.222,301.184,45.473
-15200,331.512,71.727,300.479,45.216
-15100,331.253,71.233,299.773,44.966
-15000,330.972,70.741,299.065,44.722
-14900,330.67,70.251,298.355,44.485
-14800,330.35,69.763,297.643,44.254
-14700,330.011,69.277,296.93,44.03
-14600,329.656,68.793,296.215,43.812
-14500,329.285,68.311,295.499,43.601
-14400,328.9,67.832,294.781,43.397
-14300,328.5,67.355,294.061,43.199
-14200,328.088,66.881,293.34,43.008
-14100,327.664,66.41,292.618,42.823
-14000,327.229,65.941,291.894,42.645
-13900,326.782,65.475,291.169,42.474
-13800,326.325,65.012,290.442,42.31
