name,lat,lon,site_class,period,min_date,gc_dist_km,source
Be'er Resisim,30.7711522868,34.574476878,settlement,Naqada II,-3300,69.72380366407742,pleiades
Ashqelon/Ascalon,31.6647972122,34.5505214667,monumental,Pre-Badarian,-6000,169.0513217724274,pleiades
Gaza,31.5202095,34.451719,settlement,Naqada II,-3300,153.56694817871903,pleiades
Rhinocolura,31.111755,33.796926,settlement,Naqada II,-3300,112.19317294151188,pleiades
Thala,31.3826457212,34.8668864585,settlement,Pre-Badarian,-10000,135.9789523378331,pleiades
Bouto,31.1957444573,30.7431461212,settlement,Pre-Badarian,-4500,144.66338431500844,pleiades
Heliopolis,30.1294036,31.3074812,monumental,Pre-Badarian,-6000,21.693037893184737,pleiades
Hermopolis Mikra,31.033655,30.4707825,settlement,Pre-Badarian,-6000,129.1611480727497,pleiades
Tell el-Heir,30.9673676531,32.4930033098,settlement,Naqada II,-3300,105.13516527490356,pleiades
Mendes,30.956115,31.51741,settlement,Pre-Badarian,-4500,111.51715947567209,pleiades
Krokodilopolis/Ptolemais Euergetis,29.3149635,30.8399565,settlement,Pre-Badarian,-2600000,64.43296571182509,pleiades
Aelana/Aila,29.5306345642,34.999966317,settlement,Pre-Badarian,-2600000,70.34692087756775,pleiades
Abydos/Ebot,26.185099,31.917622,monumental,Pre-Badarian,-4500,420.39871872766344,pleiades
Hermopolis Magna/Schmun,27.7813573345,30.8037580511,settlement,Pre-Badarian,-10000,233.90795063228688,pleiades
Beit Shemesh,31.7506023372,34.9748685018,settlement,Naqada II,-3300,176.2495357548214,pleiades
Tell 'Ira,31.2330942,34.9855686,other,Naqada II,-3300,118.73886151530678,pleiades
Tell es-Sakan,31.475817,34.404631,settlement,Naqada I,-4000,148.91171414574455,pleiades
Sacred Animal Necropolis (Ṣaqqārah),29.8817400893,31.2153024975,settlement,Pre-Badarian,-4500,4.952748865925969,pleiades
Tell el-Iswid,30.8530163334,31.7655762176,settlement,Pre-Badarian,-4500,98.0781499156692,pleiades
Diospolis Magna/Thebai,25.664781,32.631884,settlement,Pre-Badarian,-2600000,483.77455509476385,pleiades
Nekhen/Hierakonpolis,25.097743,32.779728,settlement,Pre-Badarian,-4500,547.7742784973088,pleiades
Kaine/Maximianopolis,26.1498853333,32.7018756667,settlement,Pre-Badarian,-2600000,430.52636108711886,pleiades
Latopolis,25.2936689,32.5531993,settlement,Pre-Badarian,-2600000,524.3081840148006,pleiades
Pathyris/Aphroditopolis (settlement),25.369659,32.473946,settlement,Pre-Badarian,-6000,515.2641196454879,pleiades
Syene,24.0885745,32.901491,settlement,Pre-Badarian,-6000,660.5962267836694,pleiades
Naga ed-Deir,26.366667,31.9,other,Pre-Badarian,-4500,400.13310849602567,pleiades
Maadi,29.966796,31.276221,settlement,Pre-Badarian,-4500,3.947722340863038,pleiades
Tell el-Hesi,31.54726225,34.7307006,settlement,Pre-Badarian,-10000,154.99757279325058,pleiades
Tell Beit Mirsim,31.4558,34.9102,settlement,Naqada II,-3300,143.86650019372792,pleiades
Tell el-Samara,30.920916,31.613893,settlement,Pre-Badarian,-5000,106.82783029200255,pleiades
