name,lat,lon,distance_km,bearing_east,bearing_west
Easter Island (Rapa Nui),-27.11,-109.35,9.6,75.7,255.7
Rapa Iti,-27.62,-144.34,285.9,92.87,272.87
Tonga,-20.42,-175.2,502.8,107.55,287.55
Pitcairn Islands,-25.07,-130.1,551.1,85.68,265.68
Fiji,-17.71,178.07,557.9,110.33,290.33
Henderson Island,-24.37,-128.32,613.7,84.78,264.78
Mangareva / Gambier,-23.13,-134.97,793.1,88.13,268.13
Austral Islands,-22.44,-151.35,802.6,96.42,276.42
Niue,-19.05,-169.87,806.7,105.3,285.3
Cook Islands,-19.0,-159.5,1055.9,100.5,280.5
Wallis & Futuna,-13.28,-176.18,1226.3,108.26,288.26
Samoa,-13.76,-172.1,1307.3,106.51,286.51
Society Islands,-17.32,-149.75,1386.4,95.71,275.71
Tuamotu Archipelago,-17.0,-144.0,1467.1,92.77,272.77
Tokelau,-9.17,-171.82,1805.1,106.72,286.72
New Zealand (Aotearoa),-41.27,174.78,1998.6,112.67,292.67
Marquesas Islands,-9.43,-140.07,2321.6,90.77,270.77
Phoenix Islands,-3.85,-171.73,2373.8,107.21,287.21
Line Islands (Kiribati),1.87,-157.47,3378.0,100.88,280.88
Hawaiian Islands,20.79,-156.33,5461.4,103.55,283.55
