name,lat,lon,source,type_raw,subtype,date_bp,gc_distance_km,cluster
Troikon Oros,29.933268,31.316658,pleiades,quarry,utilitarian,2280,0.1,Egypt / Levant
Majdabad,29.863774,52.692366,pleiades,quarry,utilitarian,2500,3.9,Iran / Persia
Saqqara Serapeum,29.871,31.215,curated,artificial_complex,artificial_complex,3350,6.1,Egypt / Levant
Osiris Shaft (Giza),29.976,31.131,curated,rock_cut_monumental,rock_cut_monumental,4500,6.2,Egypt / Levant
"Subterranean Chamber, Great Pyramid",29.9792,31.1342,curated,rock_cut_monumental,rock_cut_monumental,4550,6.5,Egypt / Levant
"Ibis Catacombs, Saqqara",29.868,31.217,curated,artificial_complex,artificial_complex,2500,6.5,Egypt / Levant
Ana Te Pahu (lava tube complex),-27.1,-109.4,curated,natural_cave,natural_cave,700,7.3,Easter Island
Troikon Oros,30.0,31.266667,pleiades,"mountain, quarry",utilitarian,2280,7.7,Egypt / Levant
Wadi Masoudah - David Roberts Rock,30.275998,35.317682,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,10.7,Egypt / Levant
Gur-i Shapur,29.8076618,51.6118028,pleiades,"sanctuary, cave",natural_cave,1980,12.1,Iran / Persia
Persepolis drainage tunnels,29.935,52.891,curated,utilitarian,utilitarian,2500,13.7,Iran / Persia
Siwa Mountain Of The Dead,29.21162,25.32452,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,13.9,Egypt / Levant
Aquarium Grotto Garden,30.056629,31.218705,wikidata,megalithic_monument,natural_cave,,14.4,Egypt / Levant
Ana Kai Tangata (painted cave),-27.175,-109.435,curated,modified_cave,modified_cave,500,14.6,Easter Island
Petra (rock-cut city),30.329,35.444,curated,rock_cut_monumental,rock_cut_monumental,2350,16.0,Egypt / Levant
Naqsh-i Rajab,29.966486,52.887043,pleiades,"sanctuary, monument",rock_cut_monumental,1980,17.2,Iran / Persia
Nazca puquio (Ocongalla),-14.81,-75.145,curated,utilitarian,utilitarian,1500,18.5,Peru / Andes
