name,lat,lon,date_bce,circle_pos,cluster,source,is_monumental,type
Khufu's ship,29.9780461,31.1342169,-2670,8.876635126853216e-05,Egypt / Levant,pleiades,False,monument
Giza plateau,29.9732,31.1328,-2938,0.0017452659891432631,Egypt / Levant,p3k14c,False,radiocarbon
Giza,29.9777703374,31.1319071185,-2670,0.002106200233583877,Egypt / Levant,pleiades,False,"sanctuary, cemetery, pyramid, tomb, settlement, architecturalcomplex"
Giza Western Cemetery,29.9792,31.131,-2418,0.0027607203284674142,Egypt / Levant,p3k14c,False,radiocarbon
Giza Western Cemetery,29.9792,31.131,-1998,0.0027607203284674142,Egypt / Levant,p3k14c,False,radiocarbon
Giza Western Cemetery,29.9792,31.131,-3011,0.0027607203284674142,Egypt / Levant,p3k14c,False,radiocarbon
Giza Khafre Pyramid,29.9757,31.1305,-2397,0.0035056645665463293,Egypt / Levant,p3k14c,True,radiocarbon
Giza Khafre Pyramid,29.9757,31.1305,-2496,0.0035056645665463293,Egypt / Levant,p3k14c,True,radiocarbon
Giza Khafre Pyramid,29.9757,31.1305,-2323,0.0035056645665463293,Egypt / Levant,p3k14c,True,radiocarbon
Pyramid of Khafre,29.9769101,31.1296934,-2670,0.004093134448169167,Egypt / Levant,pleiades,True,pyramid
The Giza Necropolis,29.973088495,31.1297475567,-2670,0.004388832531049047,Egypt / Levant,pleiades,False,"cemetery, archaeological-site"
Pyramid of Menkaure,29.9728781,31.128802,-2670,0.00522348944116402,Egypt / Levant,pleiades,True,pyramid
Abu Bakr cemetery,29.9818377994,31.1271615028,-2670,0.00583586923198709,Egypt / Levant,pleiades,False,cemetery
Pyramids of Queens,29.9717794,31.1281233,-2670,0.005907516869456231,Egypt / Levant,pleiades,True,pyramid
Memphites Nomos,29.9807344781,31.1221787957,-330,0.010233366743420902,Egypt / Levant,pleiades,False,"province, label"
Letopolites Nomos,30.123866346,31.0736571945,-330,0.03919789211568059,Egypt / Levant,pleiades,False,"province, label"
Abu Rawash,30.0341969932,31.0794498643,-2670,0.04228156159194896,Egypt / Levant,pleiades,False,cemetery
Abu Roash Djedefre Pyramid Temple,30.0321,31.0749,-2199,0.04639339534099918,Egypt / Levant,p3k14c,True,radiocarbon
Pyramid of Djedefre,30.0327194,31.0742458,-2670,0.046901667044778605,Egypt / Levant,pleiades,True,tomb
Papremite Nomos,30.0805901123,31.0594514057,-330,0.05533915778386245,Egypt / Levant,pleiades,False,"province, label"
Undefined site southwest of Cairo,30.0,31.0,-1426,0.1138846505972424,Egypt / Levant,p3k14c,False,radiocarbon
El Qattah,30.2170479,30.9668449,-2010,0.12272450698549164,Egypt / Levant,pleiades,False,cemetery
Bakchias,29.536946,31.0041595,-330,0.15229214464170582,Egypt / Levant,pleiades,False,"settlement, archaeological-site"
Tamais?,29.476667,30.959842,-330,0.1961814036237115,Egypt / Levant,pleiades,False,settlement
