model,covariate,beta,se,z,p_value,ci_lower,ci_upper
monuments_2deg,intercept,-7.692180,0.014500,-530.4965,0.00e+00,-7.720600,-7.663760
monuments_2deg,elevation,-0.378617,0.016453,-23.0114,3.58e-117,-0.410866,-0.346368
monuments_2deg,coast_dist,-1.420798,0.024347,-58.3572,0.00e+00,-1.468518,-1.373079
monuments_2deg,river_dist,0.059548,0.014507,4.1048,4.05e-05,0.031114,0.087981
monuments_2deg,abs_lat,0.913248,0.028267,32.3079,5.41e-229,0.857845,0.968651
monuments_2deg,gc_dist,-0.967205,0.030047,-32.1903,2.42e-227,-1.026096,-0.908314
settlements_2deg,intercept,-6.375939,0.007467,-853.8427,0.00e+00,-6.390575,-6.361303
settlements_2deg,elevation,-0.229376,0.007460,-30.7485,1.28e-207,-0.243997,-0.214755
settlements_2deg,coast_dist,-1.304845,0.011827,-110.3303,0.00e+00,-1.328025,-1.281665
settlements_2deg,river_dist,0.053270,0.007669,6.9462,3.75e-12,0.038239,0.068301
settlements_2deg,abs_lat,0.710562,0.013886,51.1725,0.00e+00,0.683347,0.737778
settlements_2deg,gc_dist,-0.720753,0.014999,-48.0527,0.00e+00,-0.750152,-0.691355
monuments_05deg,intercept,-7.796968,0.014479,-538.5157,0.00e+00,-7.825346,-7.768590
monuments_05deg,elevation,-0.329338,0.015900,-20.7125,2.67e-95,-0.360503,-0.298173
monuments_05deg,coast_dist,-1.233008,0.021765,-56.6497,0.00e+00,-1.275669,-1.190348
monuments_05deg,river_dist,0.072445,0.014888,4.8661,1.14e-06,0.043265,0.101625
monuments_05deg,abs_lat,0.743414,0.028219,26.3443,5.97e-153,0.688105,0.798724
monuments_05deg,gc_dist,-0.805628,0.029762,-27.0686,2.30e-161,-0.863962,-0.747293
settlements_05deg,intercept,-6.482047,0.007467,-868.1246,0.00e+00,-6.496681,-6.467412
settlements_05deg,elevation,-0.193285,0.007272,-26.5784,1.21e-155,-0.207538,-0.179031
settlements_05deg,coast_dist,-1.155355,0.010744,-107.5323,0.00e+00,-1.176414,-1.134296
settlements_05deg,river_dist,0.065032,0.007841,8.2937,1.10e-16,0.049664,0.080401
settlements_05deg,abs_lat,0.558950,0.013863,40.3200,0.00e+00,0.531779,0.586122
settlements_05deg,gc_dist,-0.581064,0.014876,-39.0615,0.00e+00,-0.610220,-0.551908
